line 1 19 columns: 		आङ्ग्ले	संस्कृते	सङ्ख्या (प्रातिपदिकम्)	पुंलिङ्गम्	स्त्रीलिङ्गम्	नपुंसकलिङ्गम्	सङ्ख्यानम् (प्रातिपदिकम्)	सङ्ख्यानम् (पुंलिङ्गम्)	सङ्ख्यानम् (स्त्रीलिङ्गम्)	सङ्ख्यानम् (नपुंसकलिङ्गम्)	सङ्ख्यानम्-तम (प्रातिपदिकम्)	सङ्ख्यानम्-तम (पुंलिङ्गम्)	सङ्ख्यानम्-तम (स्त्रीलिङ्गम्)	सङ्ख्यानम्-तम (नपुंसकलिङ्गम्)			
line 448 19 columns: 	447	447	447	सप्तचत्वारिंशत्यधिकचतुश्शत			सप्तचत्वारिंशत्यधिकचतुश्शतम्					सप्तचत्वारिंशत्यधिकचतुश्शततम	सप्तचत्वारिंशत्यधिकचतुश्शततमः	सप्तचत्वारिंशत्यधिकचतुश्शततमी	सप्तचत्वारिंशत्यधिकचतुश्शततमम्			
line 449 19 columns: *	448*	448	448	अष्ट/अष्टचत्वारिंशत्यधिकचतुश्शत			अष्ट/अष्टचत्वारिंशत्यधिकचतुश्शतम्					अष्ट/अष्टचत्वारिंशत्यधिकचतुश्शततम	अष्ट/अष्टचत्वारिंशत्यधिकचतुश्शततमः	अष्ट/अष्टचत्वारिंशत्यधिकचतुश्शततमी	अष्ट/अष्टचत्वारिंशत्यधिकचतुश्शततमम्			
line 450 19 columns: *	449*	449	449	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकचतुश्शत			ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकचतुश्शतम्					ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकचतुश्शततम	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकचतुश्शततमः	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकचतुश्शततमी	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकचतुश्शततमम्			
line 451 19 columns: 	450	450	450	पञ्चाशत्यधिकचतुश्शत			पञ्चाशत्यधिकचतुश्शतम्					पञ्चाशत्यधिकचतुश्शततम	पञ्चाशत्यधिकचतुश्शततमः	पञ्चाशत्यधिकचतुश्शततमी	पञ्चाशत्यधिकचतुश्शततमम्			
line 452 19 columns: 	451	451	451	एकपञ्चाशत्यधिकचतुश्शत			एकपञ्चाशत्यधिकचतुश्शतम्					एकपञ्चाशत्यधिकचतुश्शततम	एकपञ्चाशत्यधिकचतुश्शततमः	एकपञ्चाशत्यधिकचतुश्शततमी	एकपञ्चाशत्यधिकचतुश्शततमम्			
line 453 19 columns: *	452*	452	452	द्वि/द्वापञ्चाशत्यधिकचतुश्शत			द्वि/द्वापञ्चाशत्यधिकचतुश्शतम्					द्वि/द्वापञ्चाशत्यधिकचतुश्शततम	द्वि/द्वापञ्चाशत्यधिकचतुश्शततमः	द्वि/द्वापञ्चाशत्यधिकचतुश्शततमी	द्वि/द्वापञ्चाशत्यधिकचतुश्शततमम्			
line 454 19 columns: *	453*	453	453	त्रि/त्रयःपञ्चाशत्यधिकचतुश्शत			त्रि/त्रयःपञ्चाशत्यधिकचतुश्शतम्					त्रि/त्रयःपञ्चाशत्यधिकचतुश्शततम	त्रि/त्रयःपञ्चाशत्यधिकचतुश्शततमः	त्रि/त्रयःपञ्चाशत्यधिकचतुश्शततमी	त्रि/त्रयःपञ्चाशत्यधिकचतुश्शततमम्			
line 455 19 columns: 	454	454	454	चतुःपञ्चाशत्यधिकचतुश्शत			चतुःपञ्चाशत्यधिकचतुश्शतम्					चतुःपञ्चाशत्यधिकचतुश्शततम	चतुःपञ्चाशत्यधिकचतुश्शततमः	चतुःपञ्चाशत्यधिकचतुश्शततमी	चतुःपञ्चाशत्यधिकचतुश्शततमम्			
line 456 19 columns: 	455	455	455	पञ्चपञ्चाशत्यधिकचतुश्शत			पञ्चपञ्चाशत्यधिकचतुश्शतम्					पञ्चपञ्चाशत्यधिकचतुश्शततम	पञ्चपञ्चाशत्यधिकचतुश्शततमः	पञ्चपञ्चाशत्यधिकचतुश्शततमी	पञ्चपञ्चाशत्यधिकचतुश्शततमम्			
line 457 19 columns: 	456	456	456	षट्पञ्चाशत्यधिकचतुश्शत			षट्पञ्चाशत्यधिकचतुश्शतम्					षट्पञ्चाशत्यधिकचतुश्शततम	षट्पञ्चाशत्यधिकचतुश्शततमः	षट्पञ्चाशत्यधिकचतुश्शततमी	षट्पञ्चाशत्यधिकचतुश्शततमम्			
line 458 19 columns: 	457	457	457	सप्तपञ्चाशत्यधिकचतुश्शत			सप्तपञ्चाशत्यधिकचतुश्शतम्					सप्तपञ्चाशत्यधिकचतुश्शततम	सप्तपञ्चाशत्यधिकचतुश्शततमः	सप्तपञ्चाशत्यधिकचतुश्शततमी	सप्तपञ्चाशत्यधिकचतुश्शततमम्			
line 459 19 columns: *	458*	458	458	अष्ट/अष्टपञ्चाशत्यधिकचतुश्शत			अष्ट/अष्टपञ्चाशत्यधिकचतुश्शतम्					अष्ट/अष्टपञ्चाशत्यधिकचतुश्शततम	अष्ट/अष्टपञ्चाशत्यधिकचतुश्शततमः	अष्ट/अष्टपञ्चाशत्यधिकचतुश्शततमी	अष्ट/अष्टपञ्चाशत्यधिकचतुश्शततमम्			
line 460 19 columns: *	459*	459	459	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशत			ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशतम्					ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततम	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमः	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमी	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमम्			
line 461 19 columns: 	460	460	460	षष्ट्यधिकचतुश्शत			षष्ट्यधिकचतुश्शतम्					षष्ट्यधिकचतुश्शततम	षष्ट्यधिकचतुश्शततमः	षष्ट्यधिकचतुश्शततमी	षष्ट्यधिकचतुश्शततमम्			
line 462 19 columns: 	461	461	461	एकषष्ट्यधिकचतुश्शत 			एकषष्ट्यधिकचतुश्शतम् 					एकषष्ट्यधिकचतुश्शततम 	एकषष्ट्यधिकचतुश्शततमः 	एकषष्ट्यधिकचतुश्शततमी 	एकषष्ट्यधिकचतुश्शततमम् 			
line 463 19 columns: *	462*	462	462	द्वि/द्वाषष्ट्यधिकचतुश्शत			द्वि/द्वाषष्ट्यधिकचतुश्शतम्					द्वि/द्वाषष्ट्यधिकचतुश्शततम	द्वि/द्वाषष्ट्यधिकचतुश्शततमः	द्वि/द्वाषष्ट्यधिकचतुश्शततमी	द्वि/द्वाषष्ट्यधिकचतुश्शततमम्			
line 464 19 columns: *	463*	463	463	त्रि/त्रयः/त्रयष्षष्ट्यधिकचतुश्शत			त्रि/त्रयः/त्रयष्षष्ट्यधिकचतुश्शतम्					त्रि/त्रयः/त्रयष्षष्ट्यधिकचतुश्शततम	त्रि/त्रयः/त्रयष्षष्ट्यधिकचतुश्शततमः	त्रि/त्रयः/त्रयष्षष्ट्यधिकचतुश्शततमी	त्रि/त्रयः/त्रयष्षष्ट्यधिकचतुश्शततमम्			
line 465 19 columns: 	464	464	464	चतुःषष्ट्यधिकचतुश्शत			चतुःषष्ट्यधिकचतुश्शतम्					चतुःषष्ट्यधिकचतुश्शततम	चतुःषष्ट्यधिकचतुश्शततमः	चतुःषष्ट्यधिकचतुश्शततमी	चतुःषष्ट्यधिकचतुश्शततमम्			
line 466 19 columns: 	465	465	465	पञ्चषष्ट्यधिकचतुश्शत			पञ्चषष्ट्यधिकचतुश्शतम्					पञ्चषष्ट्यधिकचतुश्शततम	पञ्चषष्ट्यधिकचतुश्शततमः	पञ्चषष्ट्यधिकचतुश्शततमी	पञ्चषष्ट्यधिकचतुश्शततमम्			
line 467 19 columns: 	466	466	466	षट्षष्ट्यधिकचतुश्शत			षट्षष्ट्यधिकचतुश्शतम्					षट्षष्ट्यधिकचतुश्शततम	षट्षष्ट्यधिकचतुश्शततमः	षट्षष्ट्यधिकचतुश्शततमी	षट्षष्ट्यधिकचतुश्शततमम्			
line 468 19 columns: 	467	467	467	सप्तषष्ट्यधिकचतुश्शत			सप्तषष्ट्यधिकचतुश्शतम्					सप्तषष्ट्यधिकचतुश्शततम	सप्तषष्ट्यधिकचतुश्शततमः	सप्तषष्ट्यधिकचतुश्शततमी	सप्तषष्ट्यधिकचतुश्शततमम्			
line 469 19 columns: *	468*	468	468	अष्ट/अष्टषष्ट्यधिकचतुश्शत			अष्ट/अष्टषष्ट्यधिकचतुश्शतम्					अष्ट/अष्टषष्ट्यधिकचतुश्शततम	अष्ट/अष्टषष्ट्यधिकचतुश्शततमः	अष्ट/अष्टषष्ट्यधिकचतुश्शततमी	अष्ट/अष्टषष्ट्यधिकचतुश्शततमम्			
line 470 19 columns: *	469*	469	469	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकचतुश्शत			ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकचतुश्शतम्					ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकचतुश्शततम	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकचतुश्शततमः	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकचतुश्शततमी	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकचतुश्शततमम्			
line 471 19 columns: 	470	470	470	सप्तत्यधिकचतुश्शत			सप्तत्यधिकचतुश्शतम्					सप्तत्यधिकचतुश्शततम	सप्तत्यधिकचतुश्शततमः	सप्तत्यधिकचतुश्शततमी	सप्तत्यधिकचतुश्शततमम्			
line 472 19 columns: 	471	471	471	एकसप्तत्यधिकचतुश्शत 			एकसप्तत्यधिकचतुश्शतम् 					एकसप्तत्यधिकचतुश्शततम 	एकसप्तत्यधिकचतुश्शततमः 	एकसप्तत्यधिकचतुश्शततमी 	एकसप्तत्यधिकचतुश्शततमम् 			
line 473 19 columns: *	472*	472	472	द्वि/द्वासप्तत्यधिकचतुश्शत 			द्वि/द्वासप्तत्यधिकचतुश्शतम् 					द्वि/द्वासप्तत्यधिकचतुश्शततम 	द्वि/द्वासप्तत्यधिकचतुश्शततम 	द्वि/द्वासप्तत्यधिकचतुश्शततम 	द्वि/द्वासप्तत्यधिकचतुश्शततम 			
line 474 19 columns: *	473*	473	473	त्रि/त्रयः/त्रयस्सप्तत्यधिकचतुश्शत 			त्रि/त्रयः/त्रयस्सप्तत्यधिकचतुश्शतम् 					त्रि/त्रयः/त्रयस्सप्तत्यधिकचतुश्शततम 	त्रि/त्रयः/त्रयस्सप्तत्यधिकचतुश्शततम 	त्रि/त्रयः/त्रयस्सप्तत्यधिकचतुश्शततम 	त्रि/त्रयः/त्रयस्सप्तत्यधिकचतुश्शततम 			
line 475 19 columns: 	474	474	474	चतुःसप्तत्यधिकचतुश्शत 			चतुःसप्तत्यधिकचतुश्शतम् 					चतुःसप्तत्यधिकचतुश्शततम 	चतुःसप्तत्यधिकचतुश्शततम 	चतुःसप्तत्यधिकचतुश्शततम 	चतुःसप्तत्यधिकचतुश्शततम 			
line 476 19 columns: 	475	475	475	पञ्चसप्तत्यधिकचतुश्शत 			पञ्चसप्तत्यधिकचतुश्शतम् 					पञ्चसप्तत्यधिकचतुश्शततम 	पञ्चसप्तत्यधिकचतुश्शततम 	पञ्चसप्तत्यधिकचतुश्शततम 	पञ्चसप्तत्यधिकचतुश्शततम 			
line 477 19 columns: 	476	476	476	षट्सप्तत्यधिकचतुश्शत			षट्सप्तत्यधिकचतुश्शतम्					षट्सप्तत्यधिकचतुश्शततम	षट्सप्तत्यधिकचतुश्शततमः	षट्सप्तत्यधिकचतुश्शततमी	षट्सप्तत्यधिकचतुश्शततमम्			
line 478 19 columns: 	477	477	477	सप्तसप्तत्यधिकचतुश्शत			सप्तसप्तत्यधिकचतुश्शतम्					सप्तसप्तत्यधिकचतुश्शततम	सप्तसप्तत्यधिकचतुश्शततमः	सप्तसप्तत्यधिकचतुश्शततमी	सप्तसप्तत्यधिकचतुश्शततमम्			
line 479 19 columns: *	478*	478	478	अष्ट/अष्टसप्तत्यधिकचतुश्शत			अष्ट/अष्टसप्तत्यधिकचतुश्शतम्					अष्ट/अष्टसप्तत्यधिकचतुश्शततम	अष्ट/अष्टसप्तत्यधिकचतुश्शततमः	अष्ट/अष्टसप्तत्यधिकचतुश्शततमी	अष्ट/अष्टसप्तत्यधिकचतुश्शततमम्			
line 480 19 columns: *	479*	479	479	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकचतुश्शत			ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकचतुश्शतम्					ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकचतुश्शततम	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकचतुश्शततमः	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकचतुश्शततमी	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकचतुश्शततमम्			
line 481 19 columns: 	480	480	480	अशीत्यधिकचतुश्शत			अशीत्यधिकचतुश्शतम्					अशीत्यधिकचतुश्शततम	अशीत्यधिकचतुश्शततमः	अशीत्यधिकचतुश्शततमी	अशीत्यधिकचतुश्शततमम्			
line 482 19 columns: 	481	481	481	एकाशीत्यधिकचतुश्शत			एकाशीत्यधिकचतुश्शतम्					एकाशीत्यधिकचतुश्शततम	एकाशीत्यधिकचतुश्शततमः	एकाशीत्यधिकचतुश्शततमी	एकाशीत्यधिकचतुश्शततमम्			
line 483 19 columns: *	482*	482	482	द्व्यशीत्यधिकचतुश्शत			द्व्यशीत्यधिकचतुश्शतम्					द्व्यशीत्यधिकचतुश्शततम	द्व्यशीत्यधिकचतुश्शततमः	द्व्यशीत्यधिकचतुश्शततमी	द्व्यशीत्यधिकचतुश्शततमम्			
line 484 19 columns: *	483*	483	483	त्र्यशीत्यधिकचतुश्शत			त्र्यशीत्यधिकचतुश्शतम्					त्र्यशीत्यधिकचतुश्शततम	त्र्यशीत्यधिकचतुश्शततमः	त्र्यशीत्यधिकचतुश्शततमी	त्र्यशीत्यधिकचतुश्शततमम्			
line 485 19 columns: 	484	484	484	चतुरशीत्यधिकचतुश्शत			चतुरशीत्यधिकचतुश्शतम्					चतुरशीत्यधिकचतुश्शततम	चतुरशीत्यधिकचतुश्शततमः	चतुरशीत्यधिकचतुश्शततमी	चतुरशीत्यधिकचतुश्शततमम्			
line 486 19 columns: 	485	485	485	पञ्चाशीत्यधिकचतुश्शत			पञ्चाशीत्यधिकचतुश्शतम्					पञ्चाशीत्यधिकचतुश्शततम	पञ्चाशीत्यधिकचतुश्शततमः	पञ्चाशीत्यधिकचतुश्शततमी	पञ्चाशीत्यधिकचतुश्शततमम्			
line 487 19 columns: 	486	486	486	षडशीत्यधिकचतुश्शत			षडशीत्यधिकचतुश्शतम्					षडशीत्यधिकचतुश्शततम	षडशीत्यधिकचतुश्शततमः	षडशीत्यधिकचतुश्शततमी	षडशीत्यधिकचतुश्शततमम्			
line 488 19 columns: 	487	487	487	सप्ताशीत्यधिकचतुश्शत			सप्ताशीत्यधिकचतुश्शतम्					सप्ताशीत्यधिकचतुश्शततम	सप्ताशीत्यधिकचतुश्शततमः	सप्ताशीत्यधिकचतुश्शततमी	सप्ताशीत्यधिकचतुश्शततमम्			
line 489 19 columns: *	488*	488	488	अष्टाशीत्यधिकचतुश्शत			अष्टाशीत्यधिकचतुश्शतम्					अष्टाशीत्यधिकचतुश्शततम	अष्टाशीत्यधिकचतुश्शततमः	अष्टाशीत्यधिकचतुश्शततमी	अष्टाशीत्यधिकचतुश्शततमम्			
line 490 19 columns: *	489*	489	489	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकचतुश्शत			ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकचतुश्शतम्					ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकचतुश्शततम	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकचतुश्शततमः	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकचतुश्शततमी	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकचतुश्शततमम्			
line 491 19 columns: 	490	490	490	नवत्यधिकचतुश्शत			नवत्यधिकचतुश्शतम्					नवत्यधिकचतुश्शततम	नवत्यधिकचतुश्शततमः	नवत्यधिकचतुश्शततमी	नवत्यधिकचतुश्शततमम्			
line 492 19 columns: 	491	491	491	एकनवत्यधिकचतुश्शत			एकनवत्यधिकचतुश्शतम्					एकनवत्यधिकचतुश्शततम	एकनवत्यधिकचतुश्शततमः	एकनवत्यधिकचतुश्शततमी	एकनवत्यधिकचतुश्शततमम्			
line 493 19 columns: *	492*	492	492	द्वि/द्वानवत्यधिकचतुश्शत			द्वि/द्वानवत्यधिकचतुश्शतम्					द्वि/द्वानवत्यधिकचतुश्शततम	द्वि/द्वानवत्यधिकचतुश्शततमः	द्वि/द्वानवत्यधिकचतुश्शततमी	द्वि/द्वानवत्यधिकचतुश्शततमम्			
line 494 19 columns: *	493*	493	493	त्रिनवत्यधिकचतुश्शत			त्रिनवत्यधिकचतुश्शतम्					त्रिनवत्यधिकचतुश्शततम	त्रिनवत्यधिकचतुश्शततमः	त्रिनवत्यधिकचतुश्शततमी	त्रिनवत्यधिकचतुश्शततमम्			
line 495 19 columns: 	494	494	494	चतुर्नवत्यधिकचतुश्शत			चतुर्नवत्यधिकचतुश्शतम्					चतुर्नवत्यधिकचतुश्शततम	चतुर्नवत्यधिकचतुश्शततमः	चतुर्नवत्यधिकचतुश्शततमी	चतुर्नवत्यधिकचतुश्शततमम्			
line 496 19 columns: 	495	495	495	पञ्चनवत्यधिकचतुश्शत			पञ्चनवत्यधिकचतुश्शतम्					पञ्चनवत्यधिकचतुश्शततम	पञ्चनवत्यधिकचतुश्शततमः	पञ्चनवत्यधिकचतुश्शततमी	पञ्चनवत्यधिकचतुश्शततमम्			
line 497 19 columns: 	496	496	496	षण्णवत्यधिकचतुश्शत			षण्णवत्यधिकचतुश्शतम्					षण्णवत्यधिकचतुश्शततम	षण्णवत्यधिकचतुश्शततमः	षण्णवत्यधिकचतुश्शततमी	षण्णवत्यधिकचतुश्शततमम्			
line 498 19 columns: 	497	497	497	सप्तनवत्यधिकचतुश्शत			सप्तनवत्यधिकचतुश्शतम्					सप्तनवत्यधिकचतुश्शततम	सप्तनवत्यधिकचतुश्शततमः	सप्तनवत्यधिकचतुश्शततमी	सप्तनवत्यधिकचतुश्शततमम्			
line 499 19 columns: *	498*	498	498	अष्ट/अष्टनवत्यधिकचतुश्शत			अष्ट/अष्टनवत्यधिकचतुश्शतम्					अष्ट/अष्टनवत्यधिकचतुश्शततम	अष्ट/अष्टनवत्यधिकचतुश्शततमः	अष्ट/अष्टनवत्यधिकचतुश्शततमी	अष्ट/अष्टनवत्यधिकचतुश्शततमम्			
line 500 19 columns: *	499*	499	499	नवनवत्यधिकचतुश्शत			नवनवत्यधिकचतुश्शतम्					नवनवत्यधिकचतुश्शततम	नवनवत्यधिकचतुश्शततमः	नवनवत्यधिकचतुश्शततमी	नवनवत्यधिकचतुश्शततमम्			
line 501 19 columns: 	500	500	500	पञ्चशत			पञ्चशतम्					पञ्चशततम	पञ्चशततमः	पञ्चशततमी	पञ्चशततमम्			
line 502 19 columns: 	501	501	501	एकाधिकपञ्चशत			एकाधिकपञ्चशतम्					एकाधिकपञ्चशततम	एकाधिकपञ्चशततमः	एकाधिकपञ्चशततमी	एकाधिकपञ्चशततमम्			
line 503 19 columns: *	502*	502	502	द्व्यधिकपञ्चशत			द्व्यधिकपञ्चशतम्					द्व्यधिकपञ्चशततम	द्व्यधिकपञ्चशततमः	द्व्यधिकपञ्चशततमी	द्व्यधिकपञ्चशततमम्			
line 504 19 columns: *	503*	503	503	त्र्यधिकपञ्चशत			त्र्यधिकपञ्चशतम्					त्र्यधिकपञ्चशततम	त्र्यधिकपञ्चशततमः	त्र्यधिकपञ्चशततमी	त्र्यधिकपञ्चशततमम्			
line 505 19 columns: 	504	504	504	चतुरधिकपञ्चशत			चतुरधिकपञ्चशतम्					चतुरधिकपञ्चशततम	चतुरधिकपञ्चशततमः	चतुरधिकपञ्चशततमी	चतुरधिकपञ्चशततमम्			
line 506 19 columns: 	505	505	505	पञ्चाधिकपञ्चशत			पञ्चाधिकपञ्चशतम्					पञ्चाधिकपञ्चशततम	पञ्चाधिकपञ्चशततमः	पञ्चाधिकपञ्चशततमी	पञ्चाधिकपञ्चशततमम्			
line 507 19 columns: 	506	506	506	षडधिकपञ्चशत			षडधिकपञ्चशतम्					षडधिकपञ्चशततम	षडधिकपञ्चशततमः	षडधिकपञ्चशततमी	षडधिकपञ्चशततमम्			
line 508 19 columns: 	507	507	507	सप्ताधिकपञ्चशत			सप्ताधिकपञ्चशतम्					सप्ताधिकपञ्चशततम	सप्ताधिकपञ्चशततमः	सप्ताधिकपञ्चशततमी	सप्ताधिकपञ्चशततमम्			
line 509 19 columns: *	508*	508	508	अष्टाधिकपञ्चशत			अष्टाधिकपञ्चशतम्					अष्टाधिकपञ्चशततम	अष्टाधिकपञ्चशततमः	अष्टाधिकपञ्चशततमी	अष्टाधिकपञ्चशततमम्			
line 510 19 columns: *	509*	509	509	नवाधिकपञ्चशत			नवाधिकपञ्चशतम्					नवाधिकपञ्चशततम	नवाधिकपञ्चशततमः	नवाधिकपञ्चशततमी	नवाधिकपञ्चशततमम्			
line 511 19 columns: 	510	510	510	दशाधिकपञ्चशत			दशाधिकपञ्चशतम्					दशाधिकपञ्चशततम	दशाधिकपञ्चशततमः	दशाधिकपञ्चशततमी	दशाधिकपञ्चशततमम्			
line 512 19 columns: 	511	511	511	एकादशाधिकपञ्चशत			एकादशाधिकपञ्चशतम्					एकादशाधिकपञ्चशततम	एकादशाधिकपञ्चशततमः	एकादशाधिकपञ्चशततमी	एकादशाधिकपञ्चशततमम्			
line 513 19 columns: *	512*	512	512	द्वादशाधिकपञ्चशत			द्वादशाधिकपञ्चशतम्					द्वादशाधिकपञ्चशततम	द्वादशाधिकपञ्चशततमः	द्वादशाधिकपञ्चशततमी	द्वादशाधिकपञ्चशततमम्			
line 514 19 columns: *	513*	513	513	त्रयोदशाधिकपञ्चशत			त्रयोदशाधिकपञ्चशतम्					त्रयोदशाधिकपञ्चशततम	त्रयोदशाधिकपञ्चशततमः	त्रयोदशाधिकपञ्चशततमी	त्रयोदशाधिकपञ्चशततमम्			
line 515 19 columns: 	514	514	514	चतुर्दशाधिकपञ्चशत			चतुर्दशाधिकपञ्चशतम्					चतुर्दशाधिकपञ्चशततम	चतुर्दशाधिकपञ्चशततमः	चतुर्दशाधिकपञ्चशततमी	चतुर्दशाधिकपञ्चशततमम्			
line 516 19 columns: 	515	515	515	पञ्चदशाधिकपञ्चशत			पञ्चदशाधिकपञ्चशतम्					पञ्चदशाधिकपञ्चशततम	पञ्चदशाधिकपञ्चशततमः	पञ्चदशाधिकपञ्चशततमी	पञ्चदशाधिकपञ्चशततमम्			
line 517 19 columns: 	516	516	516	षोडशाधिकपञ्चशत			षोडशाधिकपञ्चशतम्					षोडशाधिकपञ्चशततम	षोडशाधिकपञ्चशततमः	षोडशाधिकपञ्चशततमी	षोडशाधिकपञ्चशततमम्			
line 518 19 columns: 	517	517	517	सप्तदशाधिकपञ्चशत			सप्तदशाधिकपञ्चशतम्					सप्तदशाधिकपञ्चशततम	सप्तदशाधिकपञ्चशततमः	सप्तदशाधिकपञ्चशततमी	सप्तदशाधिकपञ्चशततमम्			
line 519 19 columns: *	518*	518	518	अष्टादशाधिकपञ्चशत			अष्टादशाधिकपञ्चशतम्					अष्टादशाधिकपञ्चशततम	अष्टादशाधिकपञ्चशततमः	अष्टादशाधिकपञ्चशततमी	अष्टादशाधिकपञ्चशततमम्			
line 520 19 columns: *	519*	519	519	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकपञ्चशत			ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकपञ्चशतम्					ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकपञ्चशततम	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकपञ्चशततमः	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकपञ्चशततमी	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकपञ्चशततमम्			
line 521 19 columns: 	520	520	520	विंशत्यधिकपञ्चशत			विंशत्यधिकपञ्चशतम्					विंशत्यधिकपञ्चशततम	विंशत्यधिकपञ्चशततमः	विंशत्यधिकपञ्चशततमी	विंशत्यधिकपञ्चशततमम्			
line 522 19 columns: 	521	521	521	एकविंशत्यधिकपञ्चशत			एकविंशत्यधिकपञ्चशतम्					एकविंशत्यधिकपञ्चशततम	एकविंशत्यधिकपञ्चशततमः	एकविंशत्यधिकपञ्चशततमी	एकविंशत्यधिकपञ्चशततमम्			
line 523 19 columns: *	522*	522	522	द्वाविंशत्यधिकपञ्चशत			द्वाविंशत्यधिकपञ्चशतम्					द्वाविंशत्यधिकपञ्चशततम	द्वाविंशत्यधिकपञ्चशततमः	द्वाविंशत्यधिकपञ्चशततमी	द्वाविंशत्यधिकपञ्चशततमम्			
line 524 19 columns: *	523*	523	523	त्रयोविंशत्यधिकपञ्चशत			त्रयोविंशत्यधिकपञ्चशतम्					त्रयोविंशत्यधिकपञ्चशततम	त्रयोविंशत्यधिकपञ्चशततमः	त्रयोविंशत्यधिकपञ्चशततमी	त्रयोविंशत्यधिकपञ्चशततमम्			
line 525 19 columns: 	524	524	524	चतुर्विंशत्यधिकपञ्चशत			चतुर्विंशत्यधिकपञ्चशतम्					चतुर्विंशत्यधिकपञ्चशततम	चतुर्विंशत्यधिकपञ्चशततमः	चतुर्विंशत्यधिकपञ्चशततमी	चतुर्विंशत्यधिकपञ्चशततमम्			
line 526 19 columns: 	525	525	525	पञ्चविंशत्यधिकपञ्चशत			पञ्चविंशत्यधिकपञ्चशतम्					पञ्चविंशत्यधिकपञ्चशततम	पञ्चविंशत्यधिकपञ्चशततमः	पञ्चविंशत्यधिकपञ्चशततमी	पञ्चविंशत्यधिकपञ्चशततमम्			
line 527 19 columns: 	526	526	526	षड्विंशत्यधिकपञ्चशत			षड्विंशत्यधिकपञ्चशतम्					षड्विंशत्यधिकपञ्चशततम	षड्विंशत्यधिकपञ्चशततमः	षड्विंशत्यधिकपञ्चशततमी	षड्विंशत्यधिकपञ्चशततमम्			
line 528 19 columns: 	527	527	527	सप्तविंशत्यधिकपञ्चशत			सप्तविंशत्यधिकपञ्चशतम्					सप्तविंशत्यधिकपञ्चशततम	सप्तविंशत्यधिकपञ्चशततमः	सप्तविंशत्यधिकपञ्चशततमी	सप्तविंशत्यधिकपञ्चशततमम्			
line 529 19 columns: *	528*	528	528	अष्टाविंशत्यधिकपञ्चशत			अष्टाविंशत्यधिकपञ्चशतम्					अष्टाविंशत्यधिकपञ्चशततम	अष्टाविंशत्यधिकपञ्चशततमः	अष्टाविंशत्यधिकपञ्चशततमी	अष्टाविंशत्यधिकपञ्चशततमम्			
line 530 19 columns: *	529*	529	529	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकपञ्चशत			ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकपञ्चशतम्					ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकपञ्चशततम	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकपञ्चशततमः	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकपञ्चशततमी	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकपञ्चशततमम्			
